ERROR 2026-03-08 12:16:20,249 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:16:21,325 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:16:54,874 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:16:57,295 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:16:58,292 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:17:26,640 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:17:29,474 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:17:30,267 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:17:45,337 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:17:47,579 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:17:48,419 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:18:00,861 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:18:03,292 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:18:04,136 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:18:54,904 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:18:57,544 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:18:58,326 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:19:55,253 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:19:58,058 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:19:58,997 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:20:42,257 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:20:44,848 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:20:45,705 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:21:15,164 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:21:17,835 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:21:18,563 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:23:19,786 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:23:22,363 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:23:23,459 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:23:51,131 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:23:54,132 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:23:55,070 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:24:24,242 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:24:26,852 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:24:27,555 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:24:45,812 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:24:48,643 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:24:49,385 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:25:55,832 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:25:58,260 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:25:59,039 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:26:22,623 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:26:24,958 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:26:25,626 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:26:48,960 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:26:51,282 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:26:52,041 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:27:27,867 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:27:30,042 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:27:30,831 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:27:53,074 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:27:55,337 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:27:56,101 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:28:14,152 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:28:16,551 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:28:17,282 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:30:18,048 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:30:20,285 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:30:21,032 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:32:35,673 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:32:38,198 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
ERROR 2026-03-08 12:32:38,932 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 Ilker@DESKTOP-6HUMAGF
INFO 2026-03-08 12:33:33,906 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Ilker@DESKTOP-6HUMAGF
